Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,87,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,87,D5,FD,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,88,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,88,A5,21,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,89,
0,00861403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,89,8A,76,89,89,
0,01061403,true,Rx,0,8,07,89,89,89,89,89,89,89,
0,01461403,true,Rx,0,8,07,89,89,89,89,89,89,89,
0,01861403,true,Rx,0,7,06,89,89,89,89,88,3E,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,8A,
0,00861406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,8A,89,75,8A,8A,
0,01061406,true,Rx,0,8,07,8A,8A,8A,8A,8A,8A,8A,
0,01461406,true,Rx,0,8,07,8A,8A,8A,8A,8A,8A,8A,
0,01861406,true,Rx,0,7,06,8A,8A,8A,8A,58,E2,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,1E,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,1E,1D,E1,1E,1E,1E,
0,10114001,true,Rx,0,8,1E,1E,1E,1E,1E,1E,1E,1E,
0,10114001,true,Rx,0,8,1E,1E,1E,1E,1E,1E,1E,1E,
0,10214001,true,Rx,0,3,1E,22,A2,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,8B,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,8B,EA,A8,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,8C,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,8C,B1,D2,00,00,
0,00431406,true,Rx,0,8,07,AA,02,02,00,9F,2C,8D,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,7,06,03,10,8F,89,51,43,00,
0,00441406,true,Rx,0,8,07,AA,02,05,00,F4,2C,8E,
0,00841406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C41406,true,Rx,0,8,07,03,13,71,8E,8E,8E,8E,
0,01041406,true,Rx,0,3,02,64,C4,00,00,00,00,00,
0,004D1403,true,Rx,0,8,07,AA,02,45,00,AF,2D,8F,
0,008D1403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00CD1403,true,Rx,0,8,07,03,2F,8E,CA,8F,C7,D8,
0,010D1403,true,Rx,0,8,07,BA,BE,D5,C4,C7,BB,DC,
0,014D1403,true,Rx,0,8,07,C9,BA,DF,BF,B7,BA,BC,
0,018D1403,true,Rx,0,8,07,C4,8F,8E,8F,8E,88,8C,
0,01CD1403,true,Rx,0,8,07,8F,8A,8D,8E,8F,8A,8F,
0,020D1403,true,Rx,0,8,07,8F,8F,8F,8F,8F,8C,8F,
0,024D1403,true,Rx,0,8,07,8F,6B,83,70,70,70,70,
0,028D1403,true,Rx,0,8,07,80,8A,8F,8F,8F,8F,D7,
0,02CD1403,true,Rx,0,8,07,8D,8F,8F,8F,8F,8F,8F,
0,030D1403,true,Rx,0,8,07,8F,8F,8F,8F,8F,8F,8F,
0,034D1403,true,Rx,0,4,03,8F,CA,EC,00,00,00,00,
0,004D1406,true,Rx,0,8,07,AA,02,45,00,AF,2D,90,
0,008D1406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00CD1406,true,Rx,0,8,07,03,2F,91,D5,90,D8,C7,
0,010D1406,true,Rx,0,8,07,A5,A1,CA,DB,D8,A4,C3,
0,014D1406,true,Rx,0,8,07,D6,A5,C0,A0,A8,A5,A3,
0,018D1406,true,Rx,0,8,07,DB,90,91,90,91,97,93,
0,01CD1406,true,Rx,0,8,07,90,95,92,91,90,95,90,
0,020D1406,true,Rx,0,8,07,90,90,90,90,90,93,90,
0,024D1406,true,Rx,0,8,07,90,74,9C,6F,6F,6F,6F,
0,028D1406,true,Rx,0,8,07,9F,95,90,90,90,90,C8,
0,02CD1406,true,Rx,0,8,07,92,90,90,90,90,90,90,
0,030D1406,true,Rx,0,8,07,90,90,90,90,90,90,90,
0,034D1406,true,Rx,0,4,03,90,91,3C,00,00,00,00,
0,10014001,true,Rx,0,8,AA,03,45,00,C4,2D,1F,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,03,01,01,
0,10114001,true,Rx,0,8,03,2F,1E,5A,1F,57,48,2A,
0,10114001,true,Rx,0,8,2E,45,54,57,2B,4C,59,2A,
0,10114001,true,Rx,0,8,4F,2F,27,2A,2C,54,1F,1E,
0,10114001,true,Rx,0,8,1F,1E,18,1C,1F,1A,1D,1E,
0,10114001,true,Rx,0,8,1F,1A,1F,1F,1F,1F,1F,1F,
0,10114001,true,Rx,0,8,1C,1F,1F,FB,13,E0,E0,E0,
0,10114001,true,Rx,0,8,E0,10,1A,1F,1F,1F,1F,47,
0,10114001,true,Rx,0,8,1D,1F,1F,1F,1F,1F,1F,1F,
0,10114001,true,Rx,0,8,1F,1F,1F,1F,1F,1F,1F,10,
0,10214001,true,Rx,0,1,9A,00,00,00,00,00,00,00,
0,10014001,true,Rx,0,8,AA,03,00,00,DE,2D,20,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,03,01,00,
0,10214001,true,Rx,0,4,01,05,C9,F7,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00451406,true,Rx,0,8,07,AA,02,0C,00,49,2C,91,
0,00851406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C51406,true,Rx,0,8,07,03,23,81,B6,91,91,91,
0,01051406,true,Rx,0,8,07,F5,85,90,90,91,91,91,
0,01451406,true,Rx,0,3,02,D3,2B,00,00,00,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,92,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,03,27,93,16,02,00,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,93,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,93,94,02,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,94,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,94,CF,78,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,95,
0,00861403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,95,96,6A,95,95,
0,01061403,true,Rx,0,8,07,95,95,95,95,95,95,95,
0,01461403,true,Rx,0,8,07,95,95,95,95,95,95,95,
0,01861403,true,Rx,0,7,06,95,95,95,95,0D,36,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,96,
0,00861406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,96,95,69,96,96,
0,01061406,true,Rx,0,8,07,96,96,96,96,96,96,96,
0,01461406,true,Rx,0,8,07,96,96,96,96,96,96,96,
0,01861406,true,Rx,0,7,06,96,96,96,96,DD,EA,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,21,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,21,22,DE,21,21,21,
0,10114001,true,Rx,0,8,21,21,21,21,21,21,21,21,
0,10114001,true,Rx,0,8,21,21,21,21,21,21,21,21,
0,10214001,true,Rx,0,3,21,F7,4E,00,00,00,00,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,97,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,97,80,F1,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,98,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,98,F0,2D,00,00,
0,00441406,true,Rx,0,8,07,AA,02,05,00,F4,2C,99,
0,00841406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C41406,true,Rx,0,8,07,03,13,66,99,99,99,99,
0,01041406,true,Rx,0,3,02,BD,87,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431406,true,Rx,0,8,07,AA,02,02,00,9F,2C,9A,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,7,06,03,10,98,9E,2A,89,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,9B,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,9B,BF,A4,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,9C,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,9C,E4,DE,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,9D,
